Type,MimeType,Supplier,Author,Publisher,Group,Name,Version,Scope,LicenseExpressions,LicenseNames,Copyright,Cpe,Purl,Modified,SwidTagId,SwidName,SwidVersion,SwidTagVersion,SwidPatch,SwidTextContentType,SwidTextEncoding,SwidTextContent,SwidUrl,MD5,SHA-1,SHA-256,SHA-384,SHA-512,SHA3-256,SHA3-384,SHA3-512,BLAKE2b-256,BLAKE2b-384,BLAKE2b-512,BLAKE3,Description
Container,,,,,,quay.io/stolostron/managed-serviceaccount,2.4.0-25a09d4dd73ea1f4c82391ac19f35c7acd25f442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/managed-serviceaccount-e2e,2.4.0-bd486f18a00e78cf7211ec7ff6f9e15269d17cb8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/managedcluster-import-controller,2.4.0-3b7c5a11e5d9408755e1162054abfaca28eff434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/multicloud-manager,2.4.0-d0ec7d84c57271fbfec9035ae12d98e57f4c6bab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/placement,2.4.0-708be874486f035f04479cb304ec13c35a953c67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/postgresql-12-centos7,sha256:3d31fdd346b4184a43b804248c60226ce3d65bf18e614e8d3ec4da67f7a7f1ee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/provider-credential-controller,2.4.0-6deb6d66362470401632963489cc8e3ec1e1941e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/registration,2.4.0-708be874486f035f04479cb304ec13c35a953c67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/registration-operator,2.4.0-708be874486f035f04479cb304ec13c35a953c67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Container,,,,,,quay.io/stolostron/work,2.4.0-708be874486f035f04479cb304ec13c35a953c67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
